"ORD"	12449354
"ATL"	11540422
"DFW"	10799303
"LAX"	7723596
"PHX"	6585534
"DEN"	6273787
"DTW"	5636622
"IAH"	5480734
"MSP"	5199213
"SFO"	5171023
"EWR"	5136971
"STL"	5125336
"LAS"	4962958
"CLT"	4824711
"LGA"	4337167
"BOS"	4311116
"PHL"	4079651
"PIT"	3936220
"SLC"	3815114
"SEA"	3736761
"MCO"	3721849
"CVG"	3684615
"DCA"	3464017
"BWI"	3230760
"SAN"	2908518
"MIA"	2734045
"CLE"	2707070
"IAD"	2551658
"JFK"	2512555
"TPA"	2484373
"HOU"	2277584
"MEM"	2271709
"BNA"	2222695
"MDW"	2220048
"MCI"	2207283
"OAK"	2189294
"SJC"	2079784
"PDX"	1989680
"RDU"	1947969
"FLL"	1905230
"DAL"	1801225
"MSY"	1793228
"IND"	1559858
"SNA"	1544797
"SMF"	1533796
"SAT"	1523776
"AUS"	1511782
"ONT"	1465005
"CMH"	1432186
"ABQ"	1429399
"BDL"	1221541
"BUR"	1094897
"PBI"	1005986
"JAX"	977750
"HNL"	974191
"ELP"	969650
"RNO"	961812
"BUF"	926148
"OKC"	909127
"TUL"	885122
"SDF"	872530
"SJU"	868685
"MKE"	842613
"PVD"	828296
"ORF"	813873
"TUS"	782365
"BHM"	766051
"OMA"	765624
"RSW"	755125
"ANC"	743458
"GSO"	736449
"DAY"	720780
"ROC"	699507
"RIC"	676579
"SYR"	634850
"LIT"	621755
"ALB"	551504
"COS"	512190
"GEG"	496691
"GRR"	455855
"MHT"	451738
"BOI"	449542
"CHS"	422859
"DSM"	419142
"ICT"	398163
"GSP"	382481
"TYS"	381176
"JAN"	359081
"SAV"	351620
"LBB"	326121
"CAE"	321310
"SRQ"	319259
"MDT"	317568
"OGG"	314415
"PWM"	306058
"HSV"	303223
"PNS"	297986
"LGB"	296327
"MAF"	294809
"ISP"	293445
"BTR"	284860
"MSN"	280252
"PSP"	278348
"FAT"	259790
"LEX"	249460
"AMA"	247873
"CID"	244688
"SHV"	244147
"HPN"	236735
"ABE"	236094
"CRP"	231968
"SBA"	228312
"MOB"	228138
"HRL"	218786
"BTV"	210310
"FSD"	195130
"TLH"	194399
"FAI"	187332
"BIL"	174710
"JNU"	167764
"XNA"	166467
"DAB"	165764
"GRB"	163187
"MYR"	157749
"SGF"	156574
"CAK"	154699
"FWA"	149263
"KOA"	147653
"MLI"	144477
"MBS"	143550
"LIH"	142206
"EUG"	139368
"CHA"	135634
"BZN"	135244
"ROA"	133819
"MFE"	129979
"MRY"	128873
"LAN"	128385
"MLB"	127450
"SBN"	125917
"FAR"	123894
"AZO"	122921
"LNK"	122764
"CRW"	116938
"GTF"	115689
"RST"	113534
"STT"	112655
"TOL"	111879
"SWF"	110161
"AVL"	109406
"ILM"	109043
"VPS"	108565
"FNT"	107343
"MSO"	106435
"MFR"	105530
"BGR"	102965
"AGS"	102541
"MGM"	102334
"RAP"	101794
"MLU"	98078
"KTN"	97218
"GPT"	93361
"TRI"	93103
"BIS"	91910
"EVV"	91423
"AVP"	89470
"JAC"	87133
"FAY"	84823
"PHF"	84478
"PIA"	83157
"SBP"	78583
"PSC"	73760
"LFT"	73515
"BFL"	70886
"GNV"	69124
"IDA"	68971
"ITO"	68303
"GJT"	66766
"TVC"	65407
"FCA"	63123
"DLH"	62742
"ERI"	55521
